Escolaridad,Nivel Escolar,Ocupación,Ingreso,Cuenta de Nómina,Tarjeta de Débito,Tarjeta Dummy,Uso de Tarjeta,Bancos,BancoDummy,Tamaño de localidad,Región,RegionDummy,Genero,GeneroDummy,Edad
0,Ninguno,No trabajó,0,No,Sí,1,1,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,83
3,Secundaria.,trabajó por lo menos una hora,5000,No,Sí,1,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,33
3,Secundaria.,trabajó por lo menos una hora,4000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,30
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,64
2,Primaria,No trabajó,0,No,Sí,1,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,70
6,Preparatoria o bachillerato,trabajó por lo menos una hora,4600,Sí,Sí,1,2,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,20
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,70
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,28
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,17000,Sí,Sí,1,4,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,45
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,15000,Sí,Sí,1,4,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,29
8,Licenciatura o ingeniería (profesional),Es jubilada(o) o pensionada(o),0,No,Sí,1,0,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,77
4,Estudios técnicos con secundaria terminada,trabajó por lo menos una hora,3800,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,33
8,Licenciatura o ingeniería (profesional),No trabajó,0,No,Sí,1,0,Santander,4,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,80
6,Preparatoria o bachillerato,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,62
3,Secundaria.,No trabajó,0,No,Sí,1,6,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,56
